GSE,SRR,PATH_R1,PATH_R2,Species,Tissue,Chromium_version,Compressed,Read_length
GSE111912,SRR6844906,data/GSE111912/SRR6844906/SRR6844906_1.fastq.gz,data/GSE111912/SRR6844906/SRR6844906_2.fastq.gz,Human,Culture,v2,0,151
GSE111912,SRR6844907,data/GSE111912/SRR6844907/SRR6844907_1.fastq.gz,data/GSE111912/SRR6844907/SRR6844907_2.fastq.gz,Human,Culture,v2,0,151
